Game,Relation,They,Console,Year,Sales
mario party: island tour,BOSS_IN,cheep cheep,3DS,2013,1.92
mario party: island tour,BOSS_IN,cheep cheep,3DS,2014,1.92
mario kart world,BOSS_IN,cheep cheep,Switch 2,2025,0.0
mario party 10,BOSS_IN,cheep cheep,WiiU,2015,1.58
mario party: star rush,BOSS_IN,cheep cheep,3DS,2016,0.3
super mario party,BOSS_IN,cheep cheep,Switch,2018,0.0
super mario odyssey,BOSS_IN,cheep cheep,Switch,2017,0.0
super mario party jamboree,BOSS_IN,cheep cheep,Switch,2024,0.0
super mario bros. wonder,BOSS_IN,cheep cheep,Switch,2023,0.0
super mario bros. 2,BOSS_IN,clawgrip,Nintendo,1988,7.46
super mario bros. 2,BOSS_IN,clawgrip,NES,1988,7.46
bs super mario usa,BOSS_IN,clawgrip,Other Platform,1996,0.0
bs super mario usa,BOSS_IN,clawgrip,Other Platform,1995,0.0
super mario world,BOSS_IN,boo buddies,Nintendo,1990,26.07
super mario world,BOSS_IN,boo buddies,Game & Watch,1991,26.07
super mario world,BOSS_IN,boo buddies,Arcade,1993,26.07
super mario world,BOSS_IN,boo buddies,SNES,1990,26.07
new super mario bros. wii,BOSS_IN,boo buddies,Wii,2009,28.32
super mario maker 2,BOSS_IN,boo buddies,Switch,2019,0.0
mario kart 8,BOSS_IN,link,WiiU,2014,14.18
mario kart 8,BOSS_IN,link,WiiU,2015,14.18
super smash bros.,BOSS_IN,link,N64,1999,0.0
super mario maker,BOSS_IN,link,WiiU,2015,3.21
super mario maker,BOSS_IN,link,WiiU,2016,3.21
mario kart 8 deluxe,BOSS_IN,link,Switch,2017,0.0
super smash bros. melee,BOSS_IN,link,GC,2001,0.0
